sentence_id,sentence_text,model_function,gold_function,model_claim_type,gold_claim_type,model_action,gold_action,notes
ABS.S1,FPGA ring-oscillator true random number generators are commonly evaluated from oscillator-array structure and final output statistics.,SETUP,,method,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S2,This paper reports a two-board Zynq-7020 {} case study showing that this boundary can be insufficient: sampler-side physical implementation can substantially reshape measured restart behavior.,GAP,,method,,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S3,"Continuous-stream placement measurements on the primary board expose a large implementation dependence, from a biased placement with $p_1=0.337316$ and bit min-entropy 0.593606 to a near-balanced placement with $p_1=0.499969$ and bit min-entropy 0.999909.",SETUP,,method,,REPLACE_RISK_VERB;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S4,"Restart measurements then show that continuous-stream balance is not enough: warmup bytes 8 and 10 trigger fixed-position diagnostic flags, while warmup bytes 11, 12, and 16 do not.",RESULT,,measurement,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S5,"The central evidence is a bidirectional sampler-side counterfactual on the primary board, plus a repeated second-board check: imposing the restart-oriented sample-RO lock changes a compact sampler configuration toward biased restart behavior on both boards, with board-specific magnitudes.",BG,,causal/generalization,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S6,"On the second board, three-run forward warmup-4 and warmup-5 means are $p_1=0.450792$ and 0.445222, while the reverse compact-lock warmup-4 mean is 0.498300.",BG,,descriptive,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S7,Pairwise and exact counterfactual {} diagnostics show small phase correlations under the applied screens.,RESULT,,measurement,,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;REPLACE_RISK_VERB;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S8,"Reduced-XOR, held-out sampler, warmup/aperture, and toolflow controls show that final all64 output can hide biased internal sampler-vector directions: on the second board, moving the sample RO to a held-out physical context changes warmup-10 all64 from $p_1=0.360614$ to 0.500718 while internal contributors remain biased and reorder, and a 12-capture original-vs-Explore matrix separates route-stable bias preservation from route-moving boundary cases.",GAP,,causal/generalization,,ADD_BRIDGE;ADD_EVIDENCE_ANCHOR;SPLIT_SENTENCE;REFUNCTION_SENTENCE;REORDER_SENTENCE,,
ABS.S9,These measurements support a diagnostic claim rather than a certification claim: sampler-side physical implementation is not passive readout in the evaluated implementations and should be included in the measured entropy-source boundary.,RESULT,,method,,REFUNCTION_SENTENCE;REORDER_SENTENCE,,
INTRODUCTION.P1.S1,"Ring-oscillator true random number generators ( {}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source [Sunar_2007,Fischer_2008,Wold_2009].",INTERPRETATION,,descriptive,,KEEP,,
